"Year,Month,Date,Hour,Minute,Second,Depth(m)"
25,9,19,8,36,0,-0.015593629
25,9,19,8,37,0,-0.012593629
25,9,19,8,38,0,-0.001593629
25,9,19,8,39,0,-0.018593629
25,9,19,8,40,0,0.036406371
25,9,19,8,41,0,-0.006593629
25,9,19,8,42,0,-0.037593629
25,9,19,8,43,0,-0.023593629
25,9,19,8,44,0,0.002406371
25,9,19,8,45,0,0.036406371
25,9,19,8,46,0,0.002406371
25,9,19,8,47,0,-0.000593629
25,9,19,8,48,0,-0.011593629
25,9,19,8,49,0,-0.008593629
25,9,19,8,50,0,-0.003593629
25,9,19,8,51,0,0.021406371
25,9,19,8,52,0,-0.012593629
25,9,19,8,53,0,0.014406371
25,9,19,8,54,0,0.007406371
25,9,19,8,55,0,0.031406371
25,9,19,8,56,0,0.001406371
25,9,19,8,57,0,0.052406371
25,9,19,8,58,0,0.047406371
25,9,19,8,59,0,0.033406371
25,9,19,9,0,0,0.036406371
25,9,19,9,1,0,0.020406371
25,9,19,9,2,0,0.035406371
25,9,19,9,3,0,0.035406371
25,9,19,9,4,0,0.035406371
25,9,19,9,5,0,0.026406371
25,9,19,9,6,0,0.053406371
25,9,19,9,7,0,0.064406371
25,9,19,9,8,0,0.023406371
25,9,19,9,9,0,0.038406371
25,9,19,9,10,0,0.058406371
25,9,19,9,11,0,0.047406371
25,9,19,9,12,0,0.046406371
25,9,19,9,13,0,0.030406371
25,9,19,9,14,0,0.065406371
25,9,19,9,15,0,0.058406371
25,9,19,9,16,0,0.038406371
25,9,19,9,17,0,0.079406371
25,9,19,9,18,0,0.073406371
25,9,19,9,19,0,0.047406371
25,9,19,9,20,0,0.046406371
25,9,19,9,21,0,0.040406371
25,9,19,9,22,0,0.054406371
25,9,19,9,23,0,0.056406371
25,9,19,9,24,0,0.054406371
25,9,19,9,25,0,0.053406371
25,9,19,9,26,0,0.072406371
25,9,19,9,27,0,0.045406371
25,9,19,9,28,0,0.077406371
25,9,19,9,29,0,0.068406371
25,9,19,9,30,0,0.080406371
25,9,19,9,31,0,0.063406371
25,9,19,9,32,0,0.116406371
25,9,19,9,33,0,0.061406371
25,9,19,9,34,0,0.075406371
25,9,19,9,35,0,0.049406371
25,9,19,9,36,0,0.079406371
25,9,19,9,37,0,0.046406371
25,9,19,9,38,0,0.089406371
25,9,19,9,39,0,0.093406371
25,9,19,9,40,0,0.076406371
25,9,19,9,41,0,0.075406371
25,9,19,9,42,0,0.062406371
25,9,19,9,43,0,0.072406371
25,9,19,9,44,0,0.066406371
25,9,19,9,45,0,0.086406371
25,9,19,9,46,0,0.084406371
25,9,19,9,47,0,0.081406371
25,9,19,9,48,0,0.056406371
25,9,19,9,49,0,0.073406371
25,9,19,9,50,0,0.090406371
25,9,19,9,51,0,0.077406371
25,9,19,9,52,0,0.067406371
25,9,19,9,53,0,0.091406371
25,9,19,9,54,0,0.100406371
25,9,19,9,55,0,0.060406371
25,9,19,9,56,0,0.101406371
25,9,19,9,57,0,0.089406371
25,9,19,9,58,0,0.105406371
25,9,19,9,59,0,0.108406371
25,9,19,10,0,0,0.098406371
25,9,19,10,1,0,0.105406371
25,9,19,10,2,0,0.105406371
25,9,19,10,3,0,0.105406371
25,9,19,10,4,0,0.103406371
25,9,19,10,5,0,0.066406371
25,9,19,10,6,0,0.100406371
25,9,19,10,7,0,0.078406371
25,9,19,10,8,0,0.103406371
25,9,19,10,9,0,0.100406371
25,9,19,10,10,0,0.124406371
25,9,19,10,11,0,0.114406371
25,9,19,10,12,0,0.119406371
