Date,Time,SV (m/s),Pressure (dBar),Battery (V)
2025-09-23,15:08:36.41,1542.938,0000.01,008.00
2025-09-23,15:08:46.69,1542.349,0001.00,008.00
2025-09-23,15:08:53.71,1542.147,0001.98,008.00
2025-09-23,15:09:07.48,1542.171,0002.97,008.00
2025-09-23,15:09:12.90,1542.099,0003.96,008.00
2025-09-23,15:09:17.28,1542.077,0004.94,008.00
2025-09-23,15:09:22.26,1542.118,0005.93,008.00
2025-09-23,15:09:27.43,1542.075,0006.91,008.00
2025-09-23,15:09:32.64,1542.074,0007.90,008.00
2025-09-23,15:09:37.57,1542.085,0008.88,008.00
2025-09-23,15:09:40.55,1542.112,0009.87,008.00
2025-09-23,15:10:00.10,1542.137,0010.85,008.00
2025-09-23,15:10:02.75,1542.138,0011.85,008.00
2025-09-23,15:10:06.12,1542.181,0012.83,008.00
2025-09-23,15:10:09.91,1542.182,0013.82,008.00
2025-09-23,15:10:13.01,1542.201,0014.81,008.00
2025-09-23,15:10:16.48,1542.230,0015.80,008.00
2025-09-23,15:10:20.87,1542.231,0016.79,008.00
2025-09-23,15:10:24.10,1542.236,0017.78,008.00
2025-09-23,15:10:26.73,1542.263,0018.77,008.00
2025-09-23,15:10:29.65,1542.265,0019.75,008.00
2025-09-23,15:10:36.22,1542.285,0020.74,008.00
2025-09-23,15:10:39.45,1542.313,0021.73,008.00
2025-09-23,15:10:44.91,1542.327,0022.71,008.00
2025-09-23,15:10:47.56,1542.341,0023.69,008.00
2025-09-23,15:10:52.25,1542.365,0024.68,008.00
2025-09-23,15:10:54.92,1542.369,0025.66,008.00
2025-09-23,15:10:57.66,1542.373,0026.66,008.00
2025-09-23,15:11:00.98,1542.340,0027.65,008.00
2025-09-23,15:11:51.37,1542.261,0026.65,008.00
2025-09-23,15:11:53.41,1542.244,0025.65,008.00
2025-09-23,15:11:55.46,1542.230,0024.66,008.00
2025-09-23,15:12:01.23,1542.237,0025.65,008.00
2025-09-23,15:12:06.27,1542.268,0026.64,008.00
2025-09-23,15:13:17.22,1542.251,0025.66,008.00
2025-09-23,15:13:19.93,1542.238,0024.66,008.00
2025-09-23,15:13:25.53,1542.218,0023.66,008.00
2025-09-23,15:13:29.90,1542.208,0022.66,008.00
2025-09-23,15:13:31.93,1542.197,0021.67,008.00
2025-09-23,15:13:34.32,1542.184,0020.68,008.00
2025-09-23,15:13:36.71,1542.149,0019.69,008.00
2025-09-23,15:13:38.41,1542.151,0018.67,008.00
2025-09-23,15:13:39.76,1542.130,0017.69,008.00
2025-09-23,15:13:41.34,1542.119,0016.70,008.00
2025-09-23,15:13:43.97,1542.104,0015.69,008.00
2025-09-23,15:13:45.71,1542.117,0014.69,008.00
2025-09-23,15:13:47.50,1542.084,0013.70,008.00
2025-09-23,15:13:49.34,1542.086,0012.69,008.00
2025-09-23,15:13:51.02,1542.085,0011.68,008.00
2025-09-23,15:13:52.76,1542.066,0010.68,008.00
2025-09-23,15:13:54.66,1542.050,0009.68,008.00
2025-09-23,15:13:56.28,1542.035,0008.68,008.00
2025-09-23,15:13:58.73,1542.051,0007.70,008.00
2025-09-23,15:14:00.60,1542.035,0006.72,008.00
2025-09-23,15:14:02.58,1542.001,0005.72,008.00
2025-09-23,15:14:04.36,1541.984,0004.70,008.00
2025-09-23,15:14:05.89,1541.971,0003.72,008.00
2025-09-23,15:14:08.30,1542.001,0002.73,008.00
2025-09-23,15:14:12.21,1542.068,0001.74,008.00
2025-09-23,15:14:14.55,1542.119,0000.75,008.00
