Date,Time,SV (m/s),Depth (m),Battery (V)
2025-09-22,10:28:44.39,1541.646,0.98,008.03
2025-09-22,10:28:54.03,1541.583,1.96,008.03
2025-09-22,10:29:00.21,1541.581,2.94,008.03
2025-09-22,10:29:08.80,1541.557,3.92,008.03
2025-09-22,10:29:15.09,1541.555,4.90,008.03
2025-09-22,10:29:21.02,1541.548,5.89,008.03
2025-09-22,10:29:28.61,1541.555,6.86,008.03
2025-09-22,10:29:34.71,1541.570,7.85,008.03
2025-09-22,10:29:40.32,1541.588,8.84,008.03
2025-09-22,10:29:45.66,1541.610,9.82,008.03
2025-09-22,10:29:50.09,1541.625,10.80,008.03
2025-09-22,10:29:55.76,1541.641,11.78,008.03
2025-09-22,10:30:01.76,1541.644,12.77,008.03
2025-09-22,10:30:06.83,1541.674,13.76,008.03
2025-09-22,10:30:10.83,1541.680,14.74,008.03
2025-09-22,10:30:14.82,1541.695,15.71,008.03
2025-09-22,10:30:18.85,1541.711,16.69,008.03
2025-09-22,10:30:22.73,1541.728,17.67,008.03
2025-09-22,10:30:25.53,1541.734,18.66,008.03
2025-09-22,10:30:28.33,1541.740,19.64,008.03
2025-09-22,10:30:31.53,1541.748,20.62,008.03
2025-09-22,10:30:35.03,1541.750,21.60,008.03
2025-09-22,10:30:38.25,1541.765,22.58,008.03
2025-09-22,10:30:40.39,1541.773,23.56,008.03
2025-09-22,10:30:43.71,1541.777,24.54,008.03
2025-09-22,10:30:47.48,1541.798,25.54,008.03
2025-09-22,10:30:51.15,1541.771,26.52,008.03
2025-09-22,10:31:22.21,1541.774,27.49,008.03
2025-09-22,10:31:39.89,1541.775,28.47,008.03
2025-09-22,10:31:48.40,1541.789,29.45,008.03
2025-09-22,10:31:55.38,1541.799,30.43,008.03
2025-09-22,10:32:29.92,1541.831,31.40,008.03
2025-09-22,10:32:48.04,1541.862,32.39,008.03
2025-09-22,10:33:06.71,1541.847,31.38,008.03
2025-09-22,10:33:08.18,1541.818,30.38,008.03
2025-09-22,10:33:09.24,1541.790,29.40,008.03
2025-09-22,10:33:10.69,1541.772,28.42,008.03
2025-09-22,10:33:11.72,1541.759,27.41,008.03
2025-09-22,10:33:13.80,1541.750,26.42,008.03
2025-09-22,10:33:15.12,1541.736,25.44,008.03
2025-09-22,10:33:17.39,1541.725,24.44,008.03
2025-09-22,10:33:18.64,1541.720,23.45,008.03
2025-09-22,10:33:22.25,1541.702,22.46,008.03
2025-09-22,10:33:25.36,1541.683,21.48,008.03
2025-09-22,10:33:27.54,1541.673,20.48,008.03
2025-09-22,10:33:29.60,1541.665,19.50,008.03
2025-09-22,10:33:31.33,1541.638,18.51,008.03
2025-09-22,10:33:33.76,1541.653,17.52,008.03
2025-09-22,10:33:35.31,1541.669,16.54,008.03
2025-09-22,10:33:37.88,1541.656,15.53,008.03
2025-09-22,10:33:40.15,1541.644,14.56,008.03
2025-09-22,10:33:41.62,1541.628,13.57,008.03
2025-09-22,10:33:43.48,1541.642,12.60,008.03
2025-09-22,10:33:45.94,1541.642,11.60,008.03
2025-09-22,10:33:47.32,1541.625,10.59,008.03
2025-09-22,10:33:49.29,1541.622,9.59,008.03
2025-09-22,10:33:51.09,1541.611,8.60,008.03
2025-09-22,10:33:52.92,1541.589,7.61,008.03
2025-09-22,10:33:56.18,1541.582,6.63,008.03
2025-09-22,10:33:58.26,1541.562,5.64,008.03
2025-09-22,10:34:01.07,1541.599,4.65,008.03
2025-09-22,10:34:03.36,1541.577,3.67,008.03
2025-09-22,10:34:06.53,1541.555,2.69,008.03
